"timestamp";"robotId";"robotType";"mapCode";"floorNumber";"buildingCode";"containerCode";"status";"occupyStatus";"batteryLevel";"nodeCode";"nodeLabel";"nodeNumber";"x";"y";"robotOrientation";"missionCode";"liftStatus";"reliablility";"runTime";"karOsVersion";"mileage";"liftMtrTemp";"leftFrtMovMtrTemp";"rightFrtMovMtrTemp";"leftReMovMtrTemp";"rightReMovMtrTemp";"rotateTimes";"liftTimes";"nodeForeignCode";"errorMessage"
"2025-05-18 00:00:00";1;"KMP 600i-2.5 diffDrive";"RR_Floor";"RR_Floor";"RR_Floor";"";4;1;89;"RR_Floor-RR_Floor-52";"40466AA62085";52;25608.1;25163.5;306.37;1747526400000;0;1;0;"2.3.1.HF4";11853.6;38.9;4.8;2.3;8.8;8.8;0;0;"LJL_FRT_Storage_Entry";"noError-executing"
"2025-05-18 00:01:00";1;"KMP 600i-2.5 diffDrive";"RR_Floor";"RR_Floor";"RR_Floor";"";4;1;20;"RR_Floor-RR_Floor-89";"61452AA97340";89;24220.5;25545.8;112.86;1747526460000;0;1;60;"2.3.1.HF4";11853.6;38.9;2.8;7.3;6.7;4.1;0;0;"LJL_FRT_Storage_Entry";"noError-executing"
"2025-05-18 00:02:00";1;"KMP 600i-2.5 diffDrive";"RR_Floor";"RR_Floor";"RR_Floor";"";3;0;15;"RR_Floor-RR_Floor-100";"30337AA20897";100;25364.0;25476.9;235.78;1747526520000;0;1;120;"2.3.1.HF4";11853.7;37.8;0.2;8.1;4.4;1.7;0;0;"LJL_FRT_Storage_Entry";"noError-executing"
"2025-05-18 00:03:00";1;"KMP 600i-2.5 diffDrive";"RR_Floor";"RR_Floor";"RR_Floor";"";4;1;10;"RR_Floor-RR_Floor-50";"61713AA89016";50;25029.5;25034.1;99.54;1747526580000;0;1;180;"2.3.1.HF4";11853.7;32.5;9.4;2.1;3.1;2.6;0;0;"LJL_FRT_Storage_Entry";"noError-executing"
"2025-05-18 00:04:00";1;"KMP 600i-2.5 diffDrive";"RR_Floor";"RR_Floor";"RR_Floor";"";4;1;90;"RR_Floor-RR_Floor-86";"74400AA26142";86;24956.5;24156.0;334.83;1747526640000;0;1;240;"2.3.1.HF4";11853.7;80.1;4.1;0.6;1.0;6.5;0;0;"LJL_FRT_Storage_Entry";"noError-executing"
"2025-05-18 00:05:00";1;"KMP 600i-2.5 diffDrive";"RR_Floor";"RR_Floor";"RR_Floor";"";4;1;90;"RR_Floor-RR_Floor-76";"68061AA51835";76;24945.4;24906.8;79.84;1747526700000;0;1;300;"2.3.1.HF4";11853.8;36.2;1.3;0.2;7.8;3.5;0;0;"LJL_FRT_Storage_Entry";"noError-executing"
"2025-05-18 00:06:00";1;"KMP 600i-2.5 diffDrive";"RR_Floor";"RR_Floor";"RR_Floor";"";3;0;89;"RR_Floor-RR_Floor-94";"33260AA22192";94;25479.0;24047.7;76.77;1747526760000;0;1;360;"2.3.1.HF4";11854.0;35.3;3.6;4.9;9.0;0.1;0;0;"LJL_FRT_Storage_Entry";"noError-executing"
"2025-05-18 00:07:00";1;"KMP 600i-2.5 diffDrive";"RR_Floor";"RR_Floor";"RR_Floor";"";3;0;88;"RR_Floor-RR_Floor-61";"79545AA40043";61;24323.4;24235.6;321.76;1747526820000;0;1;420;"2.3.1.HF4";11854.1;36.5;9.9;0.4;5.1;8.1;0;0;"LJL_FRT_Storage_Entry";"noError-executing"
"2025-05-18 00:08:00";1;"KMP 600i-2.5 diffDrive";"RR_Floor";"RR_Floor";"RR_Floor";"";4;1;89;"RR_Floor-RR_Floor-90";"61135AA88289";90;25799.5;24730.9;12.99;1747526880000;0;1;480;"2.3.1.HF4";11854.2;37.2;0.0;4.0;9.3;3.1;0;0;"LJL_FRT_Storage_Entry";"noError-executing"
"2025-05-18 00:09:00";1;"KMP 600i-2.5 diffDrive";"RR_Floor";"RR_Floor";"RR_Floor";"";4;1;89;"RR_Floor-RR_Floor-97";"60709AA49368";97;24291.3;25228.9;322.2;1747526940000;0;1;540;"2.3.1.HF4";11854.4;36.2;3.3;7.5;7.6;5.0;0;0;"LJL_FRT_Storage_Entry";"noError-executing"
